"Name","Starts","Ends","Track","Description","Speaker","Company","Twitter"
"PesterSec: Using Pester & ScriptAnalyzer for Detecting Obfuscated PowerShell","06/06/2019 13:00","06/06/2019 14:00","Track 1","Attackers obfuscate PowerShell to evade rigid detections. With recent improvements in obfuscation detection, savvy attackers have started to obfuscate less & more selectively to avoid detection. Come learn how PesterSec leverages Pester & ScriptAnalyzer to detect minimally-obfuscated PowerShell.
Over the years as attackers have increasingly used PowerShell as an important piece of their offensive toolkit, the PowerShell Team has countered by building deep inspection capabilities into PowerShell that are not found in any other scripting language. However, as defenders began using this new visibility and significantly improving their detection of malicious PowerShell usage, attackers adapted their techniques.

As attackers turned to the heavy usage of specific obfuscation techniques, like those found in Invoke-Obfuscation and Invoke-CradleCrafter, to target certain aspects of PowerShell’s ScriptBlock logging, defenders once again had to match this offensive shift with their own shift in detection methodology.

Defenders have since turned to various data science approaches, like those built into Revoke-Obfuscation, to more robustly detect heavy PowerShell obfuscation. However, countering offensive projects like PSAmsi have enabled attackers to apply selective obfuscation in minimal quantities to evade specific A/V signatures while falling under the ""obfuscation threshold"" of newer data science approaches.

Come learn how PesterSec combines the power of ScriptAnalyzer and Pester to perform context-specific detections of minimally-obfuscated PowerShell commands and scripts. These platforms also highlight the ease of access to PowerShell’s Abstract Syntax Tree (AST) for any PowerShell practitioner.","Daniel Bohannon","MANDIANT/FireEye","danielhbohannon"
"Pullaris - A Custom DSC Pull Server written in PS & running on Polaris","06/06/2019 13:00","06/06/2019 14:00","Track 2","After this session, you will have seen a replacement for the DSC Pull Server running as PowerShell script on top of Polaris and have learned that it is not that hard.<br />Want to run your own DSC Pull Server and extend it's capabilities (in an easy way using just PowerShells script) from what is possible inbox? Or just want to see a real world example of PowerShell coded REST API? I present a script based pull server running on Polaris!","Ben Gelens","Inspark B.V.","bgelens"
"Coffee Break","06/06/2019 14:00","06/06/2019 14:15","","","","",""
"Enabling enterprise serverless patterns with AWS Lambda and PowerShell","06/06/2019 14:15","06/06/2019 15:15","Track 2","TBD","Andrew Pearce","Amazon","austoonz"
"Posh-SSH and the lessons learned","06/06/2019 14:15","06/06/2019 15:15","Track 1","The Posh-SSH module is a PowerShell module for automating tasks via SSH. Come to this session to hear about the lessons learned during the creation of the module by its author. Posh-SSH was Carlos’s first C# project and his first PowerShell module on the PowerShell Gallery. Working on an open source project has brought some challenges—dependence on another open source project, writing documentation, a personal time management…","Carlos Perez","","Carlos_perez"
"Automate your application packaging for Intune","06/06/2019 14:15","06/06/2019 15:15","Track 3","Packaging applications is a chore. Let's fix that and make your job more enjoyable.<br />in this session, you will learn how to use Azure DevOps and its CI/CD pipelines to deploy applications automatically to your end users using nothing but PowerShell, Microsoft Graph &amp; Intune.","Ben Reader","Vigilant.IT","powers_hell"
"Coffee Break","06/06/2019 15:15","06/06/2019 15:30","","","","",""
"Universal Dashboard: Beauty is the Beast","06/06/2019 15:30","06/06/2019 16:30","Track 3","Join this session to learn how you can use Universal Dashboard to make PowerShell RESTful and visual for people who refuse to learn it.<br /><br />Creating beautiful and useful dashboards and generating powerful and simple to use REST endpoints with the same tool sounds like a fairy tale. But some tales are based on a true story&hellip; Join us for this demo-heavy journey to the wonders of Universal Dashboard! <br /><br />PowerShell is a great tool to collect data and manage multiple technologies. The problem that some organizations may face is: how to enable people who can&rsquo;t use PowerShell to benefit from these strengths. Universal Dashboard is one of the potential solutions to this problem. In this demo heavy session, we will share solutions we&rsquo;ve created using this module in our own company and the plans we have for future developments that will take advantage of features offered in Universal Dashboard.","Bartosz Bielawski","Optiver","bielawb"
"Automating the Software Deployment Lifecycle with Chocolatey, Jenkins and PowerShell","06/06/2019 15:30","06/06/2019 16:30","Track 2","Traditionally deploying and upgrading software versions in an organization was a mundane manual task loaded with pain and delays. 

Using PowerShell, Pester and Chocolatey automated using Jenkins could have you rollout starts within minutes of the software being made available!
At the end of the presentation the attendee will have learned:

* The traditional organizational software deployment lifecycle;
* The automated organizational software deployment lifecycle using PowerShell, Pester, Chocolatey and Jenkins;
* The recommended Chocolatey organizational deployment & upgrade architecture;
* How Chocolatey sources work and what repositories are and why you should have them;
* The differences between the recommended package repository options;
* Internalizing packages to use internally;
* Testing packages in the deployment lifecycle using PowerShell and Pester;
* Following through the software deployment lifecycle from test to production;
* Synchronising repositories using PowerShell;
* Scheduling package installation and upgrade using PowerShell","Paul Broadwith","","pauby"
"Like a Script Monkey in the Syntax Tree","06/06/2019 15:30","06/06/2019 16:30","Track 1","Last year at PSConfEU, I used some PowerShell Cmdlets to automate the creation of some PowerShell Cmdlets... Didn't have time to explain much as I was presenting on something on another topic, but since a few have asked, I thought this year I would present the tool I used back then...
Last year at PSConfEU, I used some PowerShell Cmdlets to automate the creation of some PowerShell Cmdlets... Didn't have time to explain much as I was presenting on something on another topic, but since a few have asked, I thought this year I would present the tool I used back then...

Invoke-ScriptMonkey, a PowerShell module to interact with the Abstract Syntax Tree and the Editor Object, and automate the creation of PowerShell Modules out of a Graph and a CSV.

Automating module creation is probably not suited for every situation, however, doing so offers some advantages, and we will discuss and demo them during this session...

This session is aimed at people who already write basic functions and like to have fun with PowerShell...","Walter Legowski","","sadprocessor"
"Coffee Break","06/06/2019 16:30","06/06/2019 16:45","","","","",""
"Making Group-Object faster – A case study","06/06/2019 16:45","06/06/2019 17:45","Track 3","In this session you'll learn how to make Group-Object faster, and of course learn in general how to tackle coding problems systematically.<br />This session will be mostly centered about algorithmic complexity, touching on Big O and show the effect of quadratic complexity on runtime as the input size grows. As an example, we will look at Group-Object, which hadO(n^2 ), if the input data was unfortunate. After some changes it will beO(n lg?n). We will look at the different algorithms to understand why and how we get very different runtime performance before and after the change. We will also look at the formatting system, and some changes there where some client code used primitives that were existing, but poorly suited for the task. By dropping down a level and providing better primitives, in this case on PSObject, we can make significant performance improvements. The session will look at dotTrace &ndash; a tool to analyze runtime performance. Attendants will walk away from the talk with a better understanding of code constructs that can result in bad performance patterns. This is a fairly technical session and most suited for attendants who like looking under the hood.","Staffan Gustafsson","Dice","StaffanGson"
"Manage vSphere with PowerCLI DSC Resources, Finally!","06/06/2019 16:45","06/06/2019 17:45","Track 2","Configuration management is a key DevOps principle. PowerShell and PowerShell DSC is an easy way to make use of config management in our environments. However, there's one area that's been missing that ability: VMware. PowerCLI has introduced the key to close that gap, and... it's open-sourced!
Configuration management is one of those key DevOps principles. Being able to declare a state and do it all in code, where we can take advantage of those developer processes we know and love like source control, unit testing, etc. This ability is not something that's new to PowerShell though, DSC has been around since Windows Server 2012 R2. However, this ability is something new to VMware environments. This session is going to take a look at the brand new DSC resources available for vCenter servers and ESXi hosts. We'll take a walk through the nuances on how to get started using them, then applying some configuration settings. Finally, because these resources are open source, we will end by making a contribution back to the repository!","Kyle Ruddy","","kmruddy"
"Getting started with Visual Studio Code and a deep dive into debugging your PowerShell scripts","06/06/2019 16:45","06/06/2019 17:45","Track 1","Visual Studio Code (or VSCode for short) is a free, light weight, extensible, text editor by Microsoft. It&rsquo;s also the official editor for PowerShell development &ndash; superseding the ISE. In this talk, I&rsquo;ll show you how to get VSCode set up for use with PowerShell and then we&rsquo;ll take a close look at the debugging experience in VSCode. By the end of the talk, you&rsquo;ll walk away with the skills needed to debug your scripts and even the ability to customize the debugging experience for your use-cases.","Tyler Leonhardt","Microsoft","TylerLeonhardt"
"A better way to do WPF in PowerShell 5+","06/07/2019 08:30","06/07/2019 09:30","Track 2","PowerShell 5 introduced classes, and with a bit of work we can make them play nice with WPF.
In this talk I will show how to bind WPF properties and commands to PowerShell classes to do a proper MVVM, instead of naming all components and looking them up. I will also show a tiny framework I developed that allows offloading work into a background Runspace with a simple syntax that makes WPF feel almost native to PowerShell.","Jakub Jareš","CN Group s.r.o. ","nohwnd"
"The 2nd factor: Multi factor authentication in PowerShell","06/07/2019 08:30","06/07/2019 09:30","Track 3","Multi factor authentication (MFA) should be the de-facto standard in secure IT envorinments. But what about PowerShell beyond passwords?
Multi factor authentication (MFA) should be the de-facto standard in secure IT envorinments.  But what about PowerShell beyond passwords? 

We will highlight technologies such as **Certificate Based Login**, **OTP** authentication (One-time-password), **Windows Hello biometrics**, **FIDO** devices and Password safes in the context of PowerShell scripting. We will provide some hands on advice for daily use and question how these techniques can be used to support  JEA endpoints.","Thorsten Butz","Thosten Butz Consulting","thorstenbutz"
"Automate hybrid and cloud environments using Azure Automation","06/07/2019 08:30","06/07/2019 09:30","Track 1","In this session you will get an overview of the capabilities of Azure Automation and see it in action managing hybrid environments &ndash; as well as see how it compares to other services such as Azure Functions.<br />Don't let the name fool you: Azure Automation is a cloud-based automation service, but supports automation across any environment - Azure and non-Azure. In this session you will get to see how the service can be leveraged to automate many aspects in your environment, based on real world experiences. Don't let the name fool you - Azure Automation is a cloud-based automation and configuration service, but supports automation across any environment - Azure and non-Azure. In this session we will look at common use cases and position Azure Automation against similar services such as Azure Functions. We will then dive into real world scenarios and see how the service can be used to respond to alerts, used in self-service scenarios as well as how it can be integrated and triggered in various ways - such as webhooks from Microsoft Teams or Slack. At the end, you will see how source control &amp; Continous Integration/Continous Delivery integration can be used to automatically publish runbooks, modules and other shared assets to an Automation account.","Jan Egil Ring","","JanEgilRing"
"","","","","","Jan Egil Ring","","JanEgilRing"
"Coffee Break","06/07/2019 09:30","06/07/2019 09:45","","","","",""
"Near real-time log processing in AWS using PowerShell","06/07/2019 09:45","06/07/2019 10:45","Track 2","TBD","Andrew Pearce","Amazon","austoonz"
"Living JEA, Part 1: Author, Deploy, Enforce | JEA with a human face","06/07/2019 09:45","06/07/2019 10:45","Track 1","In this session, you will learn to implement JEA ""with a human face"".<br />PowerShell JEA is as awesome a concept as its implementation can become unwieldy and hard to deploy and monitor at scale. After this talk, you will have learned some concepts that allow organizations to implement JEA ""with a human face"". And - there's a GUI for that, too :-) PowerShell JEA is one of those great concepts that are often talked about but seldom implemented in the real world. After briefly analyzing the reasons for this, I will take a short tour through the internals of a JEA endpoint and then present a tool set that can help consolidate and automate both the authoring and the enforcement of an organization-wide JEA policy without making life uncomfortable for those admins who already use PowerShell (remoting) for their daily tasks. Then we'll talk about various deployment options for JEA, as well as back-up scenarios and contingency plans. Making @MiriamXyra happy again in 45 minutes :-)","Evgenij Smirnov","","cj_berlin"
"Intune Programmatically: Provision Intune environment using Plaster, Azure","06/07/2019 09:45","06/07/2019 10:45","Track 3","In this session, you will learn how to use Azure DevOps, Microsoft Graph &amp; simple Plaster Templates to allow painless configuration of your companies Intune implementation.","Ben Reader","Vigilant.IT","powers_hell"
"Coffee Break","06/07/2019 10:45","06/07/2019 11:00","","","","",""
"Living JEA, Part 2: How to survive under JEA control","06/07/2019 11:00","06/07/2019 12:00","Track 1","In this session, you will experience life under JEA sway and learn to help improve your JEA implementation by giving feedback.<br />Imagine you're an admin and your organization just implemented JEA for 'your' systems. Before crying Uncle, try what you do best: survive and adapt. After this talk, you'll be able to survive within the confines of a JEA endpoint and give qualified feedback to improve your org's JEA implementation. Forcing constrained JEA endpoints on administrators doesn't come easy - neither for those implementing JEA nor for thosehaving to put up with it. In this talk, I will briefly demonstrate life under JEA sway and show scenarios where the confines imposed by JEA may even help you to get stuff done faster. Then I will talk about feedback systems your organization needs to put in place in order to continually improve its JEA implementation. Of course, automated with PowerShell :-)","Evgenij Smirnov","","cj_berlin"
"SQLite for the IOT Padawan","06/07/2019 11:00","06/07/2019 12:00","Track 3","When you visit this session, you will learn to love SQLite and put it to work for your tasks easily.<br />Do you need a lightweight reliable database for your IOT project in PowerShell? Do you need it to work without an internet connection and with less configuration? After you watched this talk, the right answer for you will be SQLite database, used in many Browsers and mobile apps on your phone. Do you need a lightweight reliable database for your IOT project in PowerShell? Are you fed up with parsing CSV and JSON files? Do you need it to work without an internet connection and with less configuration? After you watched this talk, the right answer for you will be SQLite. This Database Engine is a process library that provides a serverless (self-contend) transactional SQL database engine used in many Browsers like Chrome and Firefox and mobile applications on your phone like WhatsApp due to its portability and small footprint.","Christian Imhorst","BSH Hausgeräte GmbH","datenteiler"
"Lessons learned from a large scale infrastructure as code project","06/07/2019 11:00","06/07/2019 12:00","Track 2","Build a solid Infrastructure as code framework using PowerShell, Az Module, Configuration Management, ARM template with Azure DevOps as a collaboration platform fully Unit and Integration tested with Pester.
# Introduction
In the last months a team of consultants have been working on a large scale big data and analytics solution. We implemented infrastructure as code framework to deploy a fully tested solution to any Azure region available with a click of a button. What used to take weeks to build can now be scripted and deployed within hours.

> By viewing cloud computing as a starting point for IT automation, companies may be able to have it all: scalability, agility, flexibility, efficiency, and cost savings. But that’s only possible by building up both automation and cloud capabilities.” McKinsey

# Abstract
This talk will highlight lessons learned implementing an infrastructure as code project from scratch working with a team. You can expect to learn what challenges to be faced when pursuing a large scale automation project on Azure and which latest technologies the team used to tackle theses challenges. 
At the end of the talk you will be able to plan ahead for your Infrastructure as Code Project. You are going to be aware of and can avoid common pitfalls in an automation project. As well as learn how to use a ""blue print"" templates approach to deploy Azure resources on demand quickly, like Windows and Linux VMs that are fully tested contentiously. Also, you will be aware of what to consider when deploying large scale solutions, that takes nearly half a day to spin up.

# Tools
We will have hands on to Azure DevOps, different Infrastructure as Code tools like PowerShell Az module, ARM templates, Unit and Integration tests with Pester. There is going to be little to no live coding, but a lot of code to show and tools to demonstrate.

# Objectives

* understand and be able to implement the best practices and pit falls the  team developed and implemented in the IaC project.
* plan and describe technologies and tools used in the field for development and automated deployments of infrastructure as code resources.
* differentiate the approaches of developing ARM template flavors and when to use them.","Mark Warneke","Microsoft Deutschland","mark_mit_k_"
"Lunch Break","06/07/2019 12:00","06/07/2019 13:00","","","","",""
"LunchBreak Session 10","06/07/2019 12:00","06/07/2019 13:00","Track 2","This session is for delegates and last-minute ideas. If you ever wanted to present, here is your chance to test-drive! Come and cheer up your peers while enjoying your lunch, and listen to various real-life topics from the field. All attendees can apply for lunchbreak sessions during the conference. The presentations will be published during the conference.","","",""
"LunchBreak Session 11","06/07/2019 12:00","06/07/2019 13:00","Track 3","This session is for delegates and last-minute ideas. If you ever wanted to present, here is your chance to test-drive! Come and cheer up your peers while enjoying your lunch, and listen to various real-life topics from the field. All attendees can apply for lunchbreak sessions during the conference. The presentations will be published during the conference.","","",""
"LunchBreak Session 12","06/07/2019 12:00","06/07/2019 13:00","Track 1","This session is for delegates and last-minute ideas. If you ever wanted to present, here is your chance to test-drive! Come and cheer up your peers while enjoying your lunch, and listen to various real-life topics from the field. All attendees can apply for lunchbreak sessions during the conference. The presentations will be published during the conference.","","",""
"Designing a distributed flexible validation framework for Test in Prod.","06/07/2019 13:00","06/07/2019 14:00","Track 3","Not everyone loves testing in production. But, operational aspects of infrastructure begs for Tests-in-Production (TiP). This session provides insights into designing a distributed, flexible, and secure operations validations framework. Performing Operations and diagnostics validation is a very important aspect of agile infrastructure development and monitoring. While the core principle of operations and diagnostics validation is about writing tests that are used to validate the functionality of the deployed infrastructure, it is equally important to ensure that the framework that is used for operations validation is distributed, flexible, and secure by design. This session provides insights into design of one such framework and walks through the design principles while providing real-world implementation examples. This session is not just about writing Pester tests but about making it secure and efficient to run those Pester tests for infrastructure validation in the context of Test-in-Production (TiP).","Ravikanth Chaganti","PowerShell Magazine","ravikanth"
"vSphere Security Compliance in a DevOps World","06/07/2019 13:00","06/07/2019 14:00","Track 2","For years VMware has released a vSphere Hardening Guide to help keep environments secure. There has to be a better way though! Chef InSpec and its PowerShell integrations allow us to now apply and continually validate those settings with a tool every vSphere admin is familiar with, PowerCLI.
vSphere security is always one of those “elephant in the room” type of topics. Everyone wants to do it, but no one knows how to get there consistently and painlessly. This session takes a look at the newly released integration between Chef InSpec and PowerShell, where we can turn your compliance into code! I’ll walk through how easy it is to install and configure InSpec, how to establish the PowerShell integration, then how we can use PowerCLI to apply settings from the vSphere Security Configuration Guide (formerly, vSphere Hardening Guide).","Kyle Ruddy","","kmruddy"
"Adulting 101","06/07/2019 13:00","06/07/2019 14:00","Track 1","So you&rsquo;ve just moved out of your parents house, and want to learn more about stocks, bonds, and how to manage your finances? This is the talk for you! What? You moved out of your parents house 20 years ago and still have these questions? This is still the talk for you! So you&rsquo;ve just moved out of your parents house, and want to learn more about stocks, bonds, and how to manage your finances? This is the talk for you! What? You moved out of your parents house 20 years ago and still have these questions? This is still the talk for you! In this session, we&rsquo;ll talk about how to use very basic PowerShell techniques to help you with investing, financial planning, what-if analysis, and more.","Lee Holmes","Microsoft","Lee_Holmes"
"Coffee Break","06/07/2019 14:00","06/07/2019 14:15","","","","",""
"Reporting on server compliance with DSCv2: Guest Configuration","06/07/2019 14:15","06/07/2019 15:15","Track 1","The new generation of Desired State Configuration has been revealed as Azure Guest Configuration.&nbsp; We will discuss how you can use your DSC skillset and the investments you have made in DSC resources as new opportunities to add value in the area of operational and security compliance.&nbsp; We will also discuss roadmap for DSC and what changed since announcements we made last year.&nbsp; Will cover the architecture and design of the new client (now in production) and how it addresses top asks like bringing forward management of multiple configurations.","Michael Greene","Microsoft / PowerShell Team","migreene"
"Click-free application deployment using the magic of PS and Chocolatey","06/07/2019 14:15","06/07/2019 15:15","Track 2","Ever wished you could take all of those applications you run, install them and not have to click anything? Easily keep them up to date and not click anything? What if I told you that you could use your best scripting language EVER too? PowerShell and Chocolatey for pain free software installation. After this talk the attendee will come away with an understanding of: * The difference between software installers and packages; * How to create a Chocolatey package using PowerShell, a Nuget specification file and the software binary that will install the software without clicking a single button! * How to package that 'special snowflake' software installer that just really wants to make you click some buttons! * How Chocolatey LOVES PowerShell. It does; * How to use Pester to test your packages; * How to be part of the community, share and collaborate by uploading your new package for the world to use! * What the package review process is, how it helps you and how it gives peace of mind to those downloading and using your package; * How to keep your packages constantly up to date without lifting a finger, using PowerShell goodness and the Chocolatey AU module; * How to keep the software on your computer continuously up to date and keep it secure; Learn how to create a Chocolatey package using your favourite scripting language (did I say Chocolatey LOVES PowerShell) sharing it, installing it and keeping it continuously up to date. Come with me on this journey, and you'll see a world of Windows Automation.","Paul Broadwith","","pauby"
"Learn to love the AST and make it work for you","06/07/2019 14:15","06/07/2019 15:15","Track 3","When you visit this session, you will learn what the Abstract Syntax Tree is and how you can use that knowledge to write your own PSScriptAnalyzer rules or PowerShell Editor Services commands.<br />The AST can be daunting at first sight. This session will remove that fear and show how the AST really isn't scary. At the end of this session you will have a good understanding of how the AST works, and use this knowledge to write PSScriptAnalyzer rules or commands for PowerShell Editor Services. As a non-formally trained developer, I always thought the AST was daunting and scary. However, those fears once disappeared once I learned the fundamentals of what the AST is and how it is structured. This session will show you how the AST is built, as well as visualizing it with open source tools such as ShowPSAst and EditorASTProvider. We'll also look at different methods for parsing and searching PowerShell scripts for elements, as well as using this knowledge to write your own PSScriptAnalyzer rules or writing commands to manipulate scripts in VSCode via PowerShellEditorServices.","Anthony Allen","Snow Software","psadm"
"Closing Ceremony","06/07/2019 15:15","06/07/2019 15:30","","","","",""
